,HomeTeam,AwayTeam,FTR,Home_Days_Rest,Away_Days_Rest,Home_Avg_Scored_5,Home_Avg_Conceded_5,Home_Avg_Shots_Last_5,Home_Avg_Shots_Conceded_Last_5,Home_Wins_Last_5,Home_Losses_Last_5,Home_Total_Points,Home_Points_Last_5,Away_Avg_Scored_5,Away_Avg_Conceded_5,Away_Avg_Shots_Last_5,Away_Avg_Shots_Conceded_Last_5,Away_Wins_Last_5,Away_Losses_Last_5,Away_Total_Points,Away_Points_Last_5,Home_ELO_Score,Away_ELO_Score,ELO_Diff,Points_Diff
122,Atromitos,Panathinaikos,D,6.0,7.0,1.2,1.2,8.0,9.6,2.0,2.0,16.0,7.0,1.4,1.8,11.0,10.6,2.0,2.0,25.0,7.0,1306.1059767485579,1524.9801858125556,-218.8742090639978,-9.0
125,Panetolikos,Aris,A,6.0,6.0,0.2,2.6,9.6,14.0,0.0,5.0,15.0,0.0,0.8,0.8,11.8,10.0,1.0,1.0,22.0,6.0,1273.8805763002185,1477.5544558422991,-203.6738795420806,-7.0
124,Atromitos,OFI Crete,A,6.0,6.0,1.0,0.4,9.2,8.0,2.0,1.0,17.0,8.0,1.8,1.0,11.6,12.2,3.0,2.0,18.0,9.0,1311.6862965539365,1365.3021748626986,-53.61587830876215,-1.0
123,Volos NFC,Larisa,A,7.0,7.0,0.6,1.8,9.2,13.4,1.0,4.0,25.0,3.0,0.6,0.8,9.6,12.0,2.0,1.0,16.0,8.0,1378.5360369366697,1303.4280985943617,75.10793834230799,9.0
126,Levadeiakos,Asteras Tripolis,H,7.0,8.0,2.6,0.8,13.6,11.8,4.0,0.0,35.0,13.0,0.2,1.4,10.4,14.4,0.0,3.0,13.0,2.0,1406.6340312165776,1293.8262610138654,112.80777020271216,22.0
127,Panathinaikos,Kifisia,H,7.0,15.0,1.0,1.4,10.0,10.8,2.0,2.0,26.0,7.0,0.8,1.0,15.4,16.6,0.0,1.0,19.0,4.0,1519.399866007177,1305.3675116640056,214.0323543431714,7.0
128,PAOK,Panserraikos,H,14.0,8.0,2.2,0.6,16.2,4.8,4.0,1.0,41.0,12.0,0.4,2.0,7.8,14.2,1.0,4.0,8.0,3.0,1636.8627832002926,1234.5276252325145,402.33515796777806,33.0
129,AEK,Olympiakos,D,8.0,8.0,2.6,0.4,11.4,10.8,4.0,0.0,44.0,13.0,1.4,0.2,20.4,5.8,3.0,0.0,42.0,11.0,1642.8495991456691,1650.1446834297144,-7.295084284045288,2.0
130,Asteras Tripolis,Olympiakos,A,3.0,3.0,0.2,1.8,12.8,13.6,0.0,4.0,13.0,1.0,1.0,0.4,16.2,7.2,2.0,0.0,43.0,9.0,1286.9636473975313,1649.9347448767257,-362.97109747919444,-30.0
131,Larisa,Panetolikos,A,7.0,7.0,1.0,0.2,12.6,10.8,3.0,0.0,19.0,11.0,0.2,1.8,8.8,15.8,0.0,5.0,15.0,0.0,1315.5568212018038,1269.1522957410473,46.40452546075653,4.0
132,Asteras Tripolis,Volos NFC,H,3.0,7.0,0.2,2.4,11.6,13.6,0.0,5.0,13.0,0.0,0.4,1.8,9.4,15.6,1.0,4.0,25.0,3.0,1284.7610781641786,1366.4073143292276,-81.646236165049,-12.0
133,Kifisia,Atromitos,A,6.0,7.0,0.6,1.4,12.6,16.2,0.0,2.0,19.0,3.0,0.8,0.8,10.8,7.0,1.0,2.0,17.0,5.0,1300.8511224625481,1303.2173511558437,-2.366228693295625,2.0
135,Olympiakos,Panathinaikos,A,4.0,7.0,1.6,0.4,17.2,5.4,3.0,0.0,46.0,11.0,1.2,1.2,11.4,10.0,2.0,2.0,29.0,7.0,1652.1373141100785,1523.9162552086345,128.22105890144394,17.0
137,Aris,PAOK,D,8.0,7.0,1.0,0.8,13.8,7.2,2.0,1.0,25.0,8.0,2.4,0.6,15.0,4.0,4.0,1.0,44.0,12.0,1482.2827364014704,1638.6588682687504,-156.37613186728004,-19.0
134,OFI Crete,Levadeiakos,H,8.0,7.0,1.6,1.2,10.6,13.6,3.0,2.0,21.0,9.0,2.6,1.0,12.0,14.8,4.0,0.0,38.0,13.0,1373.7711202607913,1413.4966448329117,-39.72552457212032,-17.0
136,Panserraikos,AEK,A,7.0,7.0,0.6,2.2,7.2,14.6,1.0,4.0,8.0,3.0,1.8,0.6,10.6,12.0,3.0,0.0,45.0,11.0,1232.7315401640567,1643.0595376986578,-410.3279975346011,-37.0
138,Panetolikos,Asteras Tripolis,H,7.0,7.0,1.0,1.8,7.6,16.2,1.0,4.0,18.0,3.0,0.6,2.2,12.0,13.8,1.0,4.0,16.0,3.0,1280.480039486438,1297.0687225971928,-16.5886831107548,2.0
139,Levadeiakos,Olympiakos,D,6.0,6.0,2.6,1.6,10.4,15.4,3.0,1.0,38.0,10.0,1.4,0.4,13.8,5.8,3.0,1.0,46.0,10.0,1402.3582091053415,1638.6057104387755,-236.247501333434,-8.0
140,Volos NFC,Aris,D,7.0,6.0,0.2,2.2,10.0,14.6,0.0,5.0,25.0,0.0,0.8,0.8,13.2,8.4,1.0,1.0,26.0,6.0,1354.0996698962133,1486.5024390016385,-132.40276910542525,-1.0
143,PAOK,AEK,D,7.0,7.0,2.4,0.2,15.4,4.2,4.0,0.0,45.0,13.0,2.2,0.4,11.6,10.2,3.0,0.0,48.0,11.0,1634.4391656685823,1644.7818114208253,-10.342645752243016,-3.0
141,Panathinaikos,Larisa,D,7.0,8.0,1.4,0.8,12.2,9.2,3.0,1.0,32.0,10.0,1.2,1.0,14.0,10.6,3.0,1.0,19.0,10.0,1537.4478588799375,1304.229077456413,233.21878142352443,13.0
142,Kifisia,OFI Crete,D,8.0,7.0,0.6,1.6,10.8,15.8,0.0,3.0,19.0,2.0,2.0,1.2,10.4,12.4,4.0,1.0,24.0,12.0,1290.919226946021,1384.9095559883615,-93.99032904234059,-5.0
