,HomeTeam,AwayTeam,FTR,Home_Days_Rest,Away_Days_Rest,Home_Avg_Scored_5,Home_Avg_Conceded_5,Home_Avg_Shots_Last_5,Home_Avg_Shots_Conceded_Last_5,Home_Wins_Last_5,Home_Losses_Last_5,Home_Total_Points,Home_Points_Last_5,Away_Avg_Scored_5,Away_Avg_Conceded_5,Away_Avg_Shots_Last_5,Away_Avg_Shots_Conceded_Last_5,Away_Wins_Last_5,Away_Losses_Last_5,Away_Total_Points,Away_Points_Last_5,Home_ELO_Score,Away_ELO_Score,ELO_Diff
59,Wolfsburg,Stuttgart,A,14.0,13.0,1.0,1.8,14.2,14.6,0.0,3.0,5.0,2.0,1.4,0.8,14.0,11.4,4.0,1.0,12.0,12.0,1571.9675036478764,1530.8541619032403,41.113341744636045
60,Bayern Munich,Dortmund,H,14.0,14.0,3.8,0.6,19.6,9.2,5.0,0.0,18.0,15.0,1.8,0.2,13.0,9.8,4.0,0.0,14.0,13.0,1939.1087377444135,1847.0972075176926,92.01153022672088
62,Freiburg,Ein Frankfurt,D,14.0,15.0,1.6,1.2,10.8,12.2,2.0,1.0,8.0,8.0,2.6,3.0,13.6,13.8,2.0,3.0,9.0,6.0,1634.5734629042724,1646.4590207063716,-11.885557802099129
61,St Pauli,Hoffenheim,A,15.0,16.0,1.0,1.2,13.0,10.4,2.0,3.0,7.0,6.0,1.4,2.2,13.6,12.6,1.0,3.0,7.0,4.0,1537.0163410124057,1663.4745588129413,-126.45821780053552
63,Werder Bremen,Union Berlin,H,6.0,7.0,1.4,1.8,11.8,19.8,2.0,2.0,8.0,7.0,1.8,2.0,13.6,14.4,2.0,2.0,10.0,7.0,1597.6616239979023,1589.4246413009676,8.236982696934774
68,Ein Frankfurt,St Pauli,H,6.0,6.0,2.4,3.2,13.4,12.8,1.0,3.0,10.0,4.0,0.6,1.8,11.6,12.2,1.0,4.0,7.0,3.0,1646.1170602399832,1530.5034549371214,115.61360530286174
69,Augsburg,RB Leipzig,A,7.0,7.0,1.4,2.0,11.2,11.8,1.0,3.0,7.0,4.0,1.6,0.6,16.0,15.6,4.0,0.0,16.0,13.0,1554.3182338640236,1747.2379332548983,-192.9196993908747
67,Hamburg,Wolfsburg,A,7.0,7.0,1.4,1.6,15.4,14.8,2.0,2.0,8.0,7.0,0.8,2.2,14.2,14.2,0.0,4.0,5.0,1.0,1555.9238905717475,1560.7896591578342,-4.865768586086688
66,Hoffenheim,Heidenheim,H,6.0,7.0,1.8,1.6,13.0,12.8,2.0,2.0,10.0,7.0,1.0,1.6,14.6,15.2,1.0,3.0,4.0,4.0,1669.9874448882256,1508.9138712845483,161.07357360367723
65,Dortmund,FC Koln,H,7.0,7.0,1.4,0.6,12.4,10.4,3.0,1.0,14.0,10.0,1.4,1.8,12.0,14.4,1.0,2.0,11.0,5.0,1843.3912478100185,1552.7813104160598,290.6099373939587
64,M'gladbach,Bayern Munich,A,8.0,7.0,1.2,2.8,12.0,14.8,0.0,3.0,3.0,2.0,3.6,0.4,18.6,8.8,5.0,0.0,21.0,15.0,1557.12680600838,1942.8146974520876,-385.6878914437075
70,Leverkusen,Freiburg,H,8.0,7.0,2.4,1.2,15.2,12.2,4.0,0.0,14.0,13.0,1.8,0.8,10.8,10.2,2.0,0.0,9.0,9.0,1816.2863618283186,1634.9154233706608,181.37093845765776
71,Stuttgart,Mainz,H,8.0,8.0,1.8,0.8,14.4,10.6,4.0,1.0,15.0,12.0,1.4,2.4,11.2,16.4,1.0,4.0,4.0,3.0,1542.0320063932825,1598.2820261335155,-56.25001974023303
72,Augsburg,Dortmund,A,6.0,6.0,1.2,2.8,12.2,12.2,1.0,3.0,7.0,4.0,1.2,0.6,14.4,10.2,3.0,1.0,17.0,10.0,1549.3628108577807,1844.9716465689826,-295.6088357112019
73,Heidenheim,Ein Frankfurt,D,7.0,7.0,1.2,1.8,15.8,14.6,1.0,3.0,4.0,4.0,2.6,2.6,12.8,11.0,2.0,2.0,13.0,7.0,1503.2440658770354,1652.9070502239572,-149.6629843469218
74,Mainz,Werder Bremen,D,6.0,8.0,1.6,2.6,11.2,16.4,1.0,4.0,4.0,3.0,0.8,1.8,12.6,18.4,2.0,2.0,11.0,7.0,1586.6770193472578,1607.4245889864371,-20.747569639179346
75,RB Leipzig,Stuttgart,H,7.0,6.0,2.6,0.6,15.2,16.0,4.0,0.0,19.0,13.0,2.0,0.4,16.8,10.4,5.0,0.0,18.0,15.0,1752.1933562611412,1553.6370131795402,198.55634308160097
