,HomeTeam,AwayTeam,FTR,Home_Days_Rest,Away_Days_Rest,Home_Avg_Scored_5,Home_Avg_Conceded_5,Home_Avg_Shots_Last_5,Home_Avg_Shots_Conceded_Last_5,Home_Wins_Last_5,Home_Losses_Last_5,Home_Total_Points,Home_Points_Last_5,Away_Avg_Scored_5,Away_Avg_Conceded_5,Away_Avg_Shots_Last_5,Away_Avg_Shots_Conceded_Last_5,Away_Wins_Last_5,Away_Losses_Last_5,Away_Total_Points,Away_Points_Last_5,Home_ELO_Score,Away_ELO_Score,ELO_Diff,Points_Diff
257,Girona,Celta,A,6.0,7.0,1.2,1.2,11.8,14.2,1.0,1.0,30.0,6.0,1.2,1.4,14.8,7.4,1.0,2.0,37.0,5.0,1627.9505374548933,1661.2027395715766,-33.25220211668329,-7.0
258,Real Madrid,Getafe,A,9.0,8.0,2.2,0.8,13.4,10.4,4.0,1.0,60.0,12.0,1.0,0.6,9.0,8.8,2.0,1.0,29.0,8.0,1868.558042819223,1616.3316391519363,252.2264036672866,31.0
259,Vallecano,Oviedo,H,4.0,4.0,1.4,1.4,12.4,12.2,1.0,2.0,27.0,5.0,1.0,1.8,11.4,12.8,1.0,3.0,17.0,4.0,1619.3667688984442,1493.9349747599474,125.4317941384968,10.0
260,Celta,Real Madrid,A,5.0,4.0,1.4,1.0,12.8,8.4,2.0,1.0,40.0,8.0,1.8,1.0,14.2,10.6,3.0,2.0,60.0,9.0,1667.9871167735716,1860.4550870579683,-192.46797028439664,-20.0
261,Osasuna,Mallorca,D,6.0,7.0,1.2,1.0,10.0,13.8,2.0,1.0,33.0,8.0,1.0,1.8,8.2,17.6,1.0,4.0,24.0,3.0,1635.1739589425058,1601.6385977947798,33.53536114772601,9.0
262,Levante,Girona,D,8.0,6.0,0.8,2.0,11.6,16.2,1.0,4.0,21.0,3.0,1.2,1.4,12.4,14.0,1.0,2.0,30.0,5.0,1508.461319905988,1621.1661602528982,-112.70484034691026,-9.0
263,Ath Madrid,Sociedad,H,7.0,7.0,1.0,1.2,11.8,11.0,2.0,2.0,51.0,7.0,1.8,1.8,12.0,12.2,2.0,1.0,35.0,8.0,1768.404088911412,1641.2632536443925,127.14083526701938,16.0
264,Ath Bilbao,Barcelona,A,7.0,7.0,2.0,1.2,16.0,7.8,3.0,0.0,35.0,11.0,2.8,0.8,24.4,8.4,4.0,1.0,64.0,12.0,1609.987937792745,1878.4359092019013,-268.44797140915625,-29.0
267,Villarreal,Elche,H,8.0,7.0,1.8,1.6,10.2,11.4,3.0,2.0,51.0,9.0,1.0,2.0,11.2,14.8,0.0,3.0,26.0,2.0,1724.73648676975,1529.92019469342,194.81629207633,25.0
268,Getafe,Betis,H,6.0,7.0,1.0,0.4,9.2,10.0,3.0,1.0,32.0,10.0,1.6,1.0,12.4,13.0,3.0,0.0,43.0,11.0,1628.4860727938183,1686.3894717142664,-57.903398920448126,-11.0
265,Sevilla,Vallecano,D,7.0,4.0,1.2,1.6,10.0,10.6,1.0,1.0,30.0,6.0,1.8,0.8,14.0,11.0,2.0,1.0,30.0,8.0,1617.584839214107,1624.2709163055254,-6.686077091418383,0.0
266,Valencia,Alaves,H,7.0,9.0,1.0,1.2,9.8,10.8,2.0,3.0,29.0,6.0,1.0,1.6,14.0,12.6,1.0,2.0,27.0,5.0,1620.0326990716503,1557.3648933173777,62.66780575427265,2.0
269,Espanol,Oviedo,D,8.0,5.0,1.6,2.8,9.0,14.0,0.0,3.0,36.0,2.0,1.0,1.8,10.6,13.6,1.0,3.0,17.0,4.0,1650.5027767525705,1489.0308273528663,161.47194939970427,19.0
